Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.4564.5.1","PM10","13.03488","47.81565","420.0","m","suburban","background","07/02/2007 00:00:00","19/12/2023 00:00:00","SAM.05.1200.4564.5.1","4.0","m","","","","","","m","Other sectors","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.4564.5.1.11963","01/01/2010 00:00:00","01/01/2014 00:00:00","automatic","nephelometry+beta","","thermo5030SHARP","","","","","","yes","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.4564.5.1","PM10","13.03488","47.81565","420.0","m","suburban","background","07/02/2007 00:00:00","19/12/2023 00:00:00","SAM.05.1200.4564.5.1","4.0","m","","","","","","m","Other sectors","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.4564.5.1.12099","01/01/2017 00:00:00","01/01/2018 00:00:00","automatic","nephelometry+beta","","thermo5030SHARP","","","","","","yes","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.4564.5.1","PM10","13.03488","47.81565","420.0","m","suburban","background","07/02/2007 00:00:00","19/12/2023 00:00:00","SAM.05.1200.4564.5.1","4.0","m","","","","","","m","Other sectors","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.4564.5.1.14928","01/01/2018 00:00:00","01/01/2020 00:00:00","automatic","nephelometry+beta","","thermo5030SHARP","","","","","","yes","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.4564.5.1","PM10","13.03488","47.81565","420.0","m","suburban","background","07/02/2007 00:00:00","19/12/2023 00:00:00","SAM.05.1200.4564.5.1","4.0","m","","","","","","m","Other sectors","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.4564.5.1.15444","01/01/2020 00:00:00","14/09/2022 00:00:00","automatic","nephelometry+beta","","thermo5030SHARP","","","","","","yes","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.4564.5.1","PM10","13.03488","47.81565","420.0","m","suburban","background","07/02/2007 00:00:00","19/12/2023 00:00:00","SAM.05.1200.4564.5.1","4.0","m","","","","","","m","Other sectors","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.4564.5.1.16302","14/09/2022 00:00:00","19/12/2023 00:00:00","automatic","BETA","","horibaAPDA372","","","","","","yes","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","4.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.4564.5.1","PM10","13.03488","47.81565","420.0","m","suburban","background","07/02/2007 00:00:00","19/12/2023 00:00:00","SAM.05.1200.4564.5.1","4.0","m","","","","","","m","Other sectors","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.4564.5.1.4287","01/01/2014 00:00:00","01/01/2017 00:00:00","automatic","nephelometry+beta","","thermo5030SHARP","","","","","","yes","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.4564.5.1","PM10","13.03488","47.81565","420.0","m","suburban","background","07/02/2007 00:00:00","19/12/2023 00:00:00","SAM.05.1200.4564.5.1","4.0","m","","","","","","m","Other sectors","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.4564.5.1.5175","07/02/2007 00:00:00","31/12/2009 00:00:00","automatic","TEOM","","TEOM1400A","","","","","","no","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.59822.6001.1","PM2.5","13.03488","47.81565","420.0","m","suburban","background","01/01/2008 00:00:00","19/12/2023 00:00:00","SAM.05.1200.59822.6001.1","4.0","m","","","","","","m","Other sectors","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.59822.6001.1.4288","01/01/2008 00:00:00","19/12/2023 00:00:00","active","","","","","","","gravi","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","day","1","day","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.68602.6001.1","PM2.5","13.03488","47.81565","420.0","m","suburban","background","15/09/2022 00:00:00","19/12/2023 00:00:00","SAM.05.1200.68602.6001.1","4.0","m","","","","","","m","Other sectors","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.68602.6001.1.16288","15/09/2022 00:00:00","19/12/2023 00:00:00","automatic","BETA","","horibaAPDA372","","","","","","yes","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","4.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.05","Amt der Salzburger Landesregierung","UTC+01","AT51200","051200","Salzburg Lehener Park, Franz Martin-Straße 1","SPO.05.1200.965.7.1","O3","13.03488","47.81565","420.0","m","suburban","background","01/09/1988 00:00:00","19/12/2023 00:00:00","SAM.05.1200.965.7.1","4.0","m","","","","","","m","Other","","","0","","","","t.year-1","5020 Salzburg","detached","basin","","","","","","","","SPP.05.1200.965.7.1.12288","28/11/2017 00:00:00","19/12/2023 00:00:00","automatic","UV-P","","APIT400","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.1","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
